Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Wind Speed [m/s](Hourly),LIVING:Zone Windows Total Transmitted Solar Radiation Rate [W](Hourly),ATTIC:Zone Windows Total Transmitted Solar Radiation Rate [W](Hourly),CRAWLSPACE:Zone Windows Total Transmitted Solar Radiation Rate [W](Hourly),LIVING:Zone Mean Air Temperature [C](Hourly),ATTIC:Zone Mean Air Temperature [C](Hourly),CRAWLSPACE:Zone Mean Air Temperature [C](Hourly),FAN:Fan Electricity Rate [W](Hourly),HEATING_RESISTANCE_MAIN:Heating Coil Electricity Rate [W](Hourly)
 10/22  06:00:00,-3.0833333333333335,1.8083333333333333,0.0,0.0,0.0,25.17063094058484,3.0512828316293255,12.626515294480358,60.594890077048895,5057.251792504679
 10/22  07:00:00,-3.0,2.1666666666666665,10.424480030816213,0.0,0.0,25.30969066246561,2.265634418145974,11.3436796628661,0.23351367452279156,19.48906001072255
 10/22  08:00:00,-3.2916666666666665,0.625,18.471026366661906,0.0,0.0,25.68690122564062,7.579427171777451,14.203826075521002,48.64640609590555,4060.0308724812944
 10/22  09:00:00,-2.4499999999999997,0.0,29.866273280700337,0.0,0.0,25.409338155530463,11.358472616555538,14.950484779670225,30.35210965696898,2533.1882073525617
 10/22  10:00:00,0.10833333333333324,1.2249999999999999,39.09709564038965,0.0,0.0,25.263437146658315,15.032031668577302,12.570050864860915,0.0,0.0
 10/22  11:00:00,2.3916666666666666,2.6833333333333336,31.0053675105648,0.0,0.0,25.178115686358556,17.668473867668528,11.898750607542334,29.10403483793507,2429.0238362692326
 10/22  12:00:00,4.150000000000001,3.391666666666667,21.665393601156058,0.0,0.0,24.775084991185583,16.105460234036155,11.39541735196933,3.897108502272608,325.252821378882
 10/22  13:00:00,6.008333333333334,1.5,19.32409201807982,0.0,0.0,25.256915661473048,17.961098402507673,13.0180979992494,28.361964630627156,2367.09062900868
 10/22  14:00:00,7.1499999999999995,0.0,33.061098143699276,0.0,0.0,24.87691183406564,20.833404801881397,14.094040160828683,0.0,0.0
 10/22  15:00:00,7.75,0.0,22.418505287708815,0.0,0.0,24.67934668285925,20.676060575345392,14.226586870201665,0.0,0.0
 10/22  16:00:00,7.183333333333334,1.2249999999999999,25.00325741073513,0.0,0.0,24.541860172539458,17.243289066435455,13.644172728484106,0.0,0.0
 10/22  17:00:00,6.658333333333334,1.75,4.270506458220933,0.0,0.0,25.302267472743,13.86432524566447,13.669134446705236,27.54279483351347,2298.722687098872
 10/22  18:00:00,4.6000000000000005,1.5,0.0,0.0,0.0,25.077509931556303,8.861904100813357,13.160633272243677,0.0,0.0
 10/22  19:00:00,1.4083333333333332,0.625,0.0,0.0,0.0,24.695423354827422,5.930538760531128,13.782230385027942,8.682897838212895,724.674978378569
 10/22  20:00:00,-0.26666666666666666,1.2249999999999999,0.0,0.0,0.0,25.310891521607555,4.397351435063761,13.670082758077571,28.75627754988487,2400.0
 10/22  21:00:00,-0.8333333333333334,2.1,0.0,0.0,0.0,25.160739380408163,2.9048509324264185,12.688094739428072,31.198605086039965,2603.836747527696
 10/22  22:00:00,-1.3499999999999999,1.75,0.0,0.0,0.0,25.099024022502004,1.9119539957019318,12.770129618989293,31.69965050250205,2645.6540167282365
 10/22  23:00:00,-1.95,0.625,0.0,0.0,0.0,25.277551693863487,0.7636284315486693,13.31347252828217,0.0,0.0
 10/22  24:00:00,-2.725,0.0,0.0,0.0,0.0,25.611732987977945,1.4168933245256765,15.639266674297318,49.133098642467615,4100.650250623082
 10/23  01:00:00,-3.216666666666667,0.0,0.0,0.0,0.0,25.177749371858383,-0.33082417158306027,15.218274812209165,49.57009385612408,4137.1218875015375
 10/23  02:00:00,-3.5916666666666663,1.2249999999999999,0.0,0.0,0.0,25.333525907163263,-1.6071902297007306,13.238217544577504,0.0,0.0
 10/23  03:00:00,-3.6833333333333336,2.391666666666667,0.0,0.0,0.0,25.65645460715788,-0.6318837190071823,11.89537006456068,51.20121085866959,4273.25497354921
 10/23  04:00:00,-3.1333333333333333,2.308333333333333,0.0,0.0,0.0,25.399592096361058,-0.6755377354821347,11.570523357320374,50.843956000895304,4243.43846975553
